BW,BW_cal,WI,WI_cal
0.9551439001648347,0.9809385032607992,0.9932527287568249,0.9931756219472628
0.8437230584141129,0.9204627097765984,0.9803333051969692,0.9781305469073912
0.774671880306195,0.9564380895386312,0.9891530388453844,0.9862608661939196
0.5342781803303717,0.7449196301114901,0.9745710261905036,0.973295557998496
0.7891745908972199,0.9592612242497998,0.9853274197675436,0.9816832032646756
0.8189582940599869,0.9092227357997424,0.9708203136626044,0.9650193398566783
0.5819644079583779,0.7675324054677373,0.8992159545593825,0.8671186650930385
0.7635917415957977,0.8517340203387207,0.935828948374851,0.9264558022471292
0.5904373631631867,0.7266898087749938,0.8608679793854335,0.8304020600613045
0.961112899634796,0.9622361008766813,0.9872012629346529,0.8971225555306193
